,date,sentiment,Count,ticker,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,diff,bin_sentiment,bin_diff
0,2017-05-01,-2,26,AAPL,145.1,147.2,144.96,146.6,32818760.0,0.0,1.0,144.508636305,146.60007763,144.369206883,146.002522965,32818760.0,1.5,-1,1
1,2017-05-02,22,98,AAPL,147.54,148.09,146.84,147.51,39752670.0,0.0,1.0,146.938691939,147.486450382,146.241544831,146.908814206,39752670.0,-0.03,1,-1
2,2017-05-03,54,188,AAPL,145.59,147.49,144.27,147.06,45142806.0,0.0,1.0,144.996639281,146.888895717,143.682019019,146.460648208,45142806.0,1.47,1,1
3,2017-05-04,14,100,AAPL,146.52,147.14,145.81,146.53,23275690.0,0.0,1.0,145.92284901,146.540322163,145.215742658,145.932808255,23275690.0,0.00999999999999,1,1
4,2017-05-05,8,48,AAPL,146.76,148.98,146.76,148.96,26787359.0,0.0,1.0,146.161870876,148.372823134,146.161870876,148.352904645,26787359.0,2.2,1,1
5,2017-05-08,57,127,AAPL,149.03,153.7,149.03,153.0,48339210.0,0.0,1.0,148.422619356,153.073586492,148.422619356,152.376439384,48339210.0,3.97,1,1
6,2017-05-09,37,71,AAPL,153.87,154.88,153.45,153.96,35942435.0,0.0,1.0,153.242893647,154.248777332,152.824605382,153.332526847,35942435.0,0.09,1,1
7,2017-05-10,41,77,AAPL,153.63,153.94,152.11,153.26,25670456.0,0.0,1.0,153.003871782,153.312608358,151.490066632,152.635379739,25670456.0,-0.37,1,-1
8,2017-05-11,-5,21,AAPL,152.45,154.07,152.31,153.95,25596687.0,0.63,1.0,152.45,154.07,152.31,153.95,25596687.0,1.5,-1,1
9,2017-05-12,17,12,AAPL,154.7,156.42,154.67,156.1,32221756.0,0.0,1.0,154.7,156.42,154.67,156.1,32221756.0,1.4,1,1
10,2017-05-15,51,85,AAPL,156.01,156.65,155.05,155.7,25700983.0,0.0,1.0,156.01,156.65,155.05,155.7,25700983.0,-0.31,1,-1
11,2017-05-16,61,90,AAPL,155.94,156.06,154.72,155.47,19904679.0,0.0,1.0,155.94,156.06,154.72,155.47,19904679.0,-0.47,1,-1
12,2017-05-17,8,41,AAPL,153.6,154.57,149.71,150.25,49482818.0,0.0,1.0,153.6,154.57,149.71,150.25,49482818.0,-3.35,1,-1
13,2017-05-18,19,57,AAPL,151.27,153.34,151.13,152.54,33159664.0,0.0,1.0,151.27,153.34,151.13,152.54,33159664.0,1.27,1,1
14,2017-05-19,22,28,AAPL,153.38,153.98,152.63,152.96,26733798.0,0.0,1.0,153.38,153.98,152.63,152.96,26733798.0,-0.42,1,-1
15,2017-05-22,18,97,AAPL,154.0,154.58,152.91,153.99,22340069.0,0.0,1.0,154.0,154.58,152.91,153.99,22340069.0,-0.00999999999999,1,-1
16,2017-05-23,38,70,AAPL,154.9,154.9,153.31,153.8,19430358.0,0.0,1.0,154.9,154.9,153.31,153.8,19430358.0,-1.1,1,-1
17,2017-05-24,48,60,AAPL,153.84,154.17,152.67,153.34,19118319.0,0.0,1.0,153.84,154.17,152.67,153.34,19118319.0,-0.5,1,-1
18,2017-05-25,4,24,AAPL,153.73,154.35,153.03,153.87,19044463.0,0.0,1.0,153.73,154.35,153.03,153.87,19044463.0,0.14,1,1
19,2017-05-26,13,68,AAPL,154.0,154.24,153.31,153.61,21632202.0,0.0,1.0,154.0,154.24,153.31,153.61,21632202.0,-0.39,1,-1
20,2017-05-30,43,29,AAPL,153.42,154.43,153.33,153.67,20034934.0,0.0,1.0,153.42,154.43,153.33,153.67,20034934.0,0.25,1,1
21,2017-05-31,62,93,AAPL,153.97,154.17,152.38,152.76,23162873.0,0.0,1.0,153.97,154.17,152.38,152.76,23162873.0,-1.21,1,-1
